FID,OBJECTID,SHAPE,UNIQUEID,BEZEICHNUNG,ADRESSE,PLZ,WEBLINK1,RECHTSWERT_WGS84,HOCHWERT_WGS84,ICON,STATUS,BETREIBER,VERFUEGBARKEIT,VERFUEGBARKEIT_TXT
RADSERVICEOGD.171628,171628,POINT (16.315309073426793 48.22329521596805),RS71,Radservicestation,S-Bahn Station Hernals,1170,https://www.wienerlinien.at/wienmobil/stationen,16.31530907,48.22329515,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171629,171629,POINT (16.3351281284443 48.23741753536792),RS73,Radservicestation,Peter-Jordan-Straße 76,1190,https://boku.ac.at/,16.33512812,48.23741747,Werkzeug,Aktiv,BOKU,OF,während der Öffnungszeiten
RADSERVICEOGD.171630,171630,POINT (16.335110846327048 48.23725587301678),RS74,Radservicestation,Peter-Jordan-Straße 76,1190,https://boku.ac.at/,16.33511084,48.23725581,Werkzeug,Aktiv,BOKU,OF,während der Öffnungszeiten
RADSERVICEOGD.171631,171631,POINT (16.32423749612637 48.16144930873174),RS59,Radservicestation,U-Bahn Station Am Schöpfwerk,1120,https://www.wienerlinien.at/wienmobil/stationen,16.32423749,48.16144924,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171632,171632,POINT (16.40202343109749 48.190435207800135),RS36,Radservicestation,Djerassiplatz 1,1030,https://www.univie.ac.at/,16.40202343,48.19043514,Werkzeug,Aktiv,Uni Wien,,
RADSERVICEOGD.171633,171633,POINT (16.415144259788217 48.19061713509269),RS38,Radservicestation,Erdbergstraße 202,1030,https://www.wienerlinien.at/wienmobil/stationen,16.41514425,48.19061707,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171634,171634,POINT (16.368041187899614 48.24807382257661),RS75,Radservicestation,Muthgasse 24,1190,https://www.wienerlinien.at/wienmobil/stationen,16.36804118,48.24807376,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171635,171635,POINT (16.376682997428837 48.203105612311184),RS93,Radservicestation,Schubertring 1,1010,https://www.oeamtc.at/,16.37668299,48.20310555,Werkzeug,Aktiv,ÖAMTC,,
RADSERVICEOGD.171636,171636,POINT (16.498200039598153 48.22481560594803),RS85,Radservicestation,Maria-Tusch-Straße 7,1220,https://www.wienerlinien.at/wienmobil/stationen,16.49820003,48.22481554,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171637,171637,POINT (16.43260416927558 48.24262713858248),RS83,Radservicestation,Anton-Sattler-Gasse,1220,https://www.wienerlinien.at/wienmobil/stationen,16.43260416,48.24262707,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
