FID,OBJECTID,SHAPE,UNIQUEID,BEZEICHNUNG,ADRESSE,PLZ,WEBLINK1,RECHTSWERT_WGS84,HOCHWERT_WGS84,ICON,STATUS,BETREIBER,VERFUEGBARKEIT,VERFUEGBARKEIT_TXT
RADSERVICEOGD.171550,171550,POINT (16.2126187118051 48.20906347004463),S07,Schlauchautomat,Josef-Palme-Platz 2,1140,https://www.rls-sport.at/,16.21261871,48.2090634,Schlauchautomat,Aktiv,RLS-Sport,,
RADSERVICEOGD.171551,171551,POINT (16.404138612569366 48.203142269864436),S08,Schlauchautomat,Brandgasse an der Ecke zur Böcklinstraße 104,1020,http://www.fahrrad-wien.co.at/,16.40413861,48.2031422,Schlauchautomat,Aktiv,Sator Bike-Shop,,
RADSERVICEOGD.171552,171552,POINT (16.39999146477783 48.22328921490281),RS32,Radservicestation,Lassallestraße 9b,1020,https://www.wienerlinien.at/wienmobil/stationen,16.39999146,48.22328915,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171553,171553,POINT (16.371429253386204 48.22988639092358),RS78,Radservicestation,Wallensteinplatz,1200,https://www.wienerlinien.at/wienmobil/stationen,16.37142925,48.22988632,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171554,171554,POINT (16.353007211923934 48.216873169335265),RS16,Radservicestation,"Altes AKH, Hof 2",1090,https://www.oeh.univie.ac.at/,16.35300721,48.2168731,Werkzeug,Aktiv,ÖH Universität Wien,,
RADSERVICEOGD.171555,171555,POINT (16.277498709561222 48.19331293199385),RS17,Radservicestation,Kefergasse 3,1140,https://www.arboe.at/,16.2774987,48.19331287,Werkzeug,Aktiv,ARBÖ,OF,während der Öffnungszeiten
RADSERVICEOGD.171556,171556,POINT (16.327717392798963 48.211800967989994),RS18,Radservicestation,Ottakringer Platz 1,1160,https://www.ottakringerbrauerei.at/,16.32771739,48.2118009,Werkzeug,Aktiv,Ottakringer Brauerei,OF,während der Öffnungszeiten
RADSERVICEOGD.171557,171557,POINT (16.29444601213329 48.15853876952847),RS19,Radservicestation,Leonore-Brecher-Weg 9,1120,https://www.wildgarten.wien/,16.29444601,48.1585387,Werkzeug,Aktiv,Wildgarten-Team,,
RADSERVICEOGD.171558,171558,POINT (16.388229612795204 48.21463616983733),RS20,Radservicestation,Lichtenauergasse 4,1020,https://www.radlobby.at/,16.38822961,48.2146361,Werkzeug,Aktiv,Radlobby,AS,April bis September
RADSERVICEOGD.171559,171559,POINT (16.27767361223999 48.1932999700699),S09,Schlauchautomat,Kefergasse 3,1140,https://www.arboe.at/,16.27767361,48.1932999,Schlauchautomat,Aktiv,ARBÖ,OF,während der Öffnungszeiten
RADSERVICEOGD.171560,171560,POINT (16.37433831234721 48.20237936954479),L09,Druckluft während der Öffnungszeiten,Hegelgasse 19,1010,https://www.bikevienna.at/,16.37433831,48.2023793,Pumpe,Aktiv,Bike Vienna,OF,während der Öffnungszeiten
RADSERVICEOGD.171561,171561,POINT (16.367030012246598 48.263530069825705),S10,Schlauchautomat,Donauradweg auf Höhe Heiligenstädterstraße 180,1190,https://www.donau-fritzi.at/,16.36703001,48.26353,Schlauchautomat,Aktiv,Radsport Nussdorf Donau Fritzi,,
RADSERVICEOGD.171562,171562,POINT (16.399820512856845 48.22179906939584),RS21,Radservicestation,Ybbsstraße 26,1020,https://lenkerbande.at/,16.39982051,48.221799,Werkzeug,Aktiv,Lenkerbande,AS,April bis September
RADSERVICEOGD.171563,171563,POINT (16.36629800154278 48.21913071149403),RS22,Radservicestation,Bergggasse 40,1090,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.366298,48.21913065,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171564,171564,POINT (16.390115212744288 48.20281767004648),L11,Luftpumpe,Landstraßer Hauptstraße 48,1030,https://www.wien.gv.at/kontakte/ma28/index.html,16.39011521,48.2028176,Pumpe,Aktiv,MA 28 - Straßenverwaltung und Straßenbau,,
RADSERVICEOGD.171565,171565,POINT (16.432755812387747 48.238071269791696),S11,Schlauchautomat,Erzherzog-Karl Straße 14,1220,https://bikestore.cc/wien-1220,16.43275581,48.2380712,Schlauchautomat,Aktiv,Bikestore Fahrrad-Servicecenter,,
RADSERVICEOGD.171566,171566,POINT (16.382577106325318 48.219500907696116),RS23,Radservicestation,Glockengasse 25,1020,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.3825771,48.21950084,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171567,171567,POINT (16.34874553270433 48.23660978580497),RS24,Radservicestation,Gymnasiumstraße 85,1190,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.34874553,48.23660972,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171568,171568,POINT (16.468359713054493 48.19428337008936),RS25,Radservicestation,Dechantweg beim Nationalparkhaus Lobau,1220,https://www.wien.gv.at/kontakte/ma49/index.html,16.46835971,48.1942833,Werkzeug,Aktiv,"MA 49 - Klima, Forst- und Landwirtschaftsbetrieb",,
RADSERVICEOGD.171569,171569,POINT (16.330993882739136 48.18023746736818),RS26,Radservicestation,Reschgasse 20,1120,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.33099388,48.1802374,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171570,171570,POINT (16.349755411952984 48.225479169955214),RS27,Radservicestation,Innerer Währinger Gürtel bei der U6-Station Währin,1090,https://www.wienerlinien.at/web/wiener-linien/wienmobil-stationen,16.34975541,48.2254791,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171571,171571,POINT (16.35707551274985 48.21407306996178),L15,Luftpumpe,Rathausstraße 21,1010,https://shop.oegbverlag.at/,16.35707551,48.214073,Pumpe,Aktiv,Fachbuchhandlung des ÖGB Verlags,OF,während der Öffnungszeiten
RADSERVICEOGD.171572,171572,POINT (16.38480199535829 48.23407160346001),RS77,Radservicestation,Traisengasse 6,1200,https://www.wienerlinien.at/wienmobil/stationen,16.38480199,48.23407154,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171573,171573,POINT (16.3937339997059 48.2343687785843),RS79,Radservicestation,Innstraße 31,1200,https://www.arboe.at/wien/arboe-rad-stationen/,16.39373399,48.23436871,Werkzeug,Aktiv,ARBÖ,,
RADSERVICEOGD.171574,171574,POINT (16.399983367471066 48.25572213268569),RS80,Radservicestation,Franklinstraße 19,1210,https://www.wienerlinien.at/wienmobil/stationen,16.39998336,48.25572207,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171575,171575,POINT (16.41057198500499 48.277909021408185),RS81,Radservicestation,Marco-Polo-Promenade,1210,https://www.wienerlinien.at/wienmobil/stationen,16.41057198,48.27790896,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171576,171576,POINT (16.447497257667862 48.27145894312497),RS82,Radservicestation,Kürschnergasse / Else-Feldmann-Promenade ,1210,https://www.wienerlinien.at/wienmobil/stationen,16.44749725,48.27145888,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171577,171577,POINT (16.34584213331037 48.18388211932381),RS100,Radservicestation,Margaretengürtel 118,1050,https://www.wienerlinien.at/wienmobil/stationen,16.34584213,48.18388205,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171578,171578,POINT (16.4110681285255 48.19053451211181),RS107,Radservicestation,Nottendorfer Gasse 21,1030,https://www.roteskreuz.at/wien/home,16.41106812,48.19053445,Werkzeug,Aktiv,Wiener Rotes Kreuz,,
RADSERVICEOGD.171579,171579,POINT (16.40239664372357 48.26715200193625),RS108,Radservicestation,Karl-Schäfer-Straße 8,1210,https://www.roteskreuz.at/wien/home,16.40239664,48.26715194,Werkzeug,Aktiv,Wiener Rotes Kreuz,,
RADSERVICEOGD.171580,171580,POINT (16.32979107676801 48.20273020061724),RS109,Radservicestation,Markgraf-Rüdiger-Straße,1150,https://www.wienerlinien.at/wienmobil/stationen,16.32979107,48.20273013,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171581,171581,POINT (16.335057421782693 48.228518772150736),RS112,Radservicestation,Aumannplatz,1180,https://www.wienerlinien.at/wienmobil/stationen,16.33505742,48.22851871,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171582,171582,POINT (16.404351358254864 48.188778906756234),RS113,Radservicestation,Maria-Jacobi-Gasse 2,1030,https://www.wienerlinien.at/wienmobil/stationen,16.40435135,48.18877884,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171583,171583,POINT (16.386700994670147 48.194039388374506),RS114,Radservicestation,Obere Bahngasse 2,1030,https://www.wienerlinien.at/wienmobil/stationen,16.38670099,48.19403932,Werkzeug,Aktiv,WienMobil/Wiener Linien,,
RADSERVICEOGD.171548,171548,POINT (16.40465541207557 48.219432469782504),S05,Schlauchautomat,Ilgplatz 2,1020,https://radbande.at/,16.40465541,48.2194324,Schlauchautomat,Aktiv,Radbande,,
